id,titre,objet,date_creat,date_publi,adr1,adr2,adr3,adrs_codepostal,libcom,siteweb
751P00000875,COMITE DE CONCENTRATION REPUBLICAINE ET SOCIALISTE COMITE DE CONCENTRATION REPUBLICAINE ANTI COMMUNISTE DU QUARTIER DE BEL AIR,plus d'activité,1928-02-16,0001-01-01,,14        RUE Rottembourg,,75012,PARIS,
751P00000876,COMITE DE CONCENTRATION REPUBLICAINE ET SOCIALISTE COMITE DE CONCENTRATION REPUBLICAINE ANTI COMMUNISTE DU QARTIER DE PICPUS,plus d'activité,1928-02-16,0001-01-01,,29        PAS Montgallet,,75012,PARIS,
751P00000895,GROUPE ARTISTIQUE OUVRIER DU 12EME ARRONDISSEMENT,plus d'activité,1928-04-07,0001-01-01,,235       RUE de Charenton,,75012,PARIS,
751P00000917,GROUPEMENT D'ACTION ECONOMIQUE POLITIQUE ET SOCIALE DU 12EME ARRONDISSEMENT,plus d'activité,1928-06-16,0001-01-01,,21        RUE de Picpus,,75012,PARIS,
751P00000932,LES RESERVOIRS DU 12EME ARRONDISSEMENT,plus d'activité,1928-05-16,0001-01-01,,4         PAS du Charolais,,75012,PARIS,
751P00000953,ETOILE SPORTIVE P L M,plus d'activité,1928-08-09,0001-01-01,,235       RUE de Charenton,,75012,PARIS,
751P00001039,AMICALE DU PERSONNEL D'ENCADREMENT DU MINISTERE DES PENSIONS,plus d'activité,1929-07-09,0001-01-01,,8         QUAIde la Rapee,,75012,PARIS,
751P00001073,PHOTO CLUB PARIS BERCY,resserrer les liens amicaux entre les fonctionnaires et agents des administrations économiques et financières qui s'intéressent a l'art photographique,1930-02-15,0001-01-01,,143       RUE de Bercy,,75012,PARIS,
751P00001084,COMITE POUR L'ASSISTANCE AUX ANCIENS COMBATTANTS RUSSES EN FRANCE INFIRMES,plus d'activité,1930-01-29,0001-01-01,,6         RUE Cannebiere,,75012,PARIS,
751P00001094,COMITE REPUBLICAIN D'ACTION MUNICIPALE ET LEGISLATIVE DU 12EME ARRONDISSEMENT,plus d'activité,1930-03-22,0001-01-01,,22        RUE Edouard robert,,75012,PARIS,
751P00001152,GROUPE SPORTIF AMICAL,plus d'activité,1930-11-18,0001-01-01,,3         RUE Emilio castelar,,75012,PARIS,
751P00001158,ASSOCIATION CHINOISE D'ENTR AIDE DU TCHEKIANG EN EUROPE,plus d'activité,1930-10-30,0001-01-01,,5         AV  de Corbera,,75012,PARIS,
751P00001170,COMITE PROVISOIRE D'ACTION POUR LA DEFENSE DES INTERETS PROFESSIONNELS DES REDACTEURS ET AGENTS INSTRUCTEURS DES P T T,plus d'activité,1930-11-21,0001-01-01,,55        RUE Traversière,,75012,PARIS,
751P00001215,CAISSE DE SECOURS IMMEDIAT DE LA DIRECTION DES PENSIONS DU MINISTERE DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE,plus d'activité,1947-06-05,0001-01-01,,139       RUE de Bercy,,75012,PARIS,
751P00001281,COMITE FRANCAIS POUR LA PAIX PAR LE RESPECT DES TRAITES,plus d'activité,1931-06-10,0001-01-01,,5         RUE Las cases,,75012,PARIS,
751P00001412,CLUB SPORTIF OUVRIER DU 12EME ARRONDISSEMENT,plus d'activité,1933-02-21,0001-01-01,,312       RUE de Charenton,,75012,PARIS,
751P00001429,COMITE DE DEFENSE DE LA LIBERTE DE LA PRESSE DE LA LIBERTE DU COMMERCE ET DE LA LIBERTE DU TRAVAIL ET DE TOUS LES INTERESSES AU COMMERCE DE LA LIBRAIRIE DES JOURNAUX ET DES PUBLICATIONS,plus d'activité,1932-05-03,0001-01-01,,1         RUE Charles baudelaire,,75012,PARIS,
751P00001442,L'EMANCIPATION DE LA CORSE,entretenir des liens de solidarité entre ses membres lutter sur tous les terrains dans l'intérêt des travailleurs qui la composent,0001-01-01,0001-01-01,,10        BD  de Reuilly,,75012,PARIS,
751P00001502,POUR CONNAITRE LA RUSSIE,étude de l'évolution historique de la russie avant la révolution,0001-01-01,0001-01-01,,5         RUE du Docteur goujon,,75012,PARIS,
