id,titre,objet,date_creat,date_publi,adr1,adr2,adr3,adrs_codepostal,libcom,siteweb
751P00099803,ASSOCIATION POUR LA RECHERCHE EN PSYCHIATRIE ET ELECTROGENESE ARPEGE,promouvoir les études et recherches en psychiatrie aux plans clinique biologique et thérapeutique compte tenu des règles éthique,1991-05-03,0001-01-01,,14        PL  de la Nation,,75012,PARIS,
751P00099808,ASSOCIATION SPORTIVE CAP 12,participer a une compétition dans le cadre du football loisir,1991-05-03,1991-06-05,,9         ALL des Vergers,,75012,PARIS,
751P00099830,CONFORMANCE CONSEIL FORMATION ET PERFORMANCE,contribuer a développer la collaboration entre tous types d'entreprises et des intervenants professionnels extérieurs,1991-05-07,0001-01-01,,42        RUE du Sergent bauchat,,75012,PARIS,
751P00099847,ASSOCIATION INDEPENDANTE DES LOCATAIRES,défense des intérêts materiels et moraux des locataires,1991-05-13,1991-06-05,,1         AV  du Docteur arnold netter,,75012,PARIS,
751P00099850,ASSOCIATION SPORTIVE EST ECOLE SUPERIEURE DE TOURISME,d'animer l'école supérieure de tourisme au niveau sportif,1991-05-13,0001-01-01,,29        RUE Erard,,75012,PARIS,
751P00099870,WAMBA CREATION,dvt et expansion de ttes formes d'art pr ts les moyens possibles et ttes opérations pouvant être nécessaires ou utiles a cet objet,1991-05-14,0001-01-01,,16        AV  du Bel air,,75012,PARIS,
751P00099874,CINEPHILE CLUB AFRIQUE CARAIBE OCEAN INDIEN,promouvoir les cinémas africain caribeen et océanien pr des projections debat,1991-05-14,0001-01-01,,41        RUE Claude decaen,,75012,PARIS,
751P00099903,THEATRE DE LA MOUSTIQUAIRE,diffuser pr le moyen du théâtre des pièces françaises ou étrangères inédites ou contemporaines,1991-05-15,0001-01-01,,8 10      RUE de la Vega,,75012,PARIS,
751P00099910,SUBTLE CHEVAL,concevoir et réaliser des musiques et spectacles gérer le pars de materiel nécessaire aux réalisations,1991-05-15,1991-06-12,,7         BD  de Reuilly,,75012,PARIS,
751P00099929,GUERRE ET PAIX,étude de la politique internationale et économie mondiale en mettanten oeuvre certains moyens tél conférences colloques réunions et autres,1991-05-16,0001-01-01,,59        BD  Soult,,75012,PARIS,
751P00099931,ASSOCIATION DES COUTURIERS CREATEURS DE MODE ET CONFECTIONNEURS,rencontres des couturiers createurs de modèles confectionneurs,1991-05-16,0001-01-01,,67        RUE de Reuilly,,75012,PARIS,
751P00099958,INSTITUT RAMSES,favoriser le dvpt des connaissances concernant l'egypte ancienne faire connaître la pensee des anciens égyptiens,1991-05-21,1991-06-12,,75        RUE Crozatier,,75012,PARIS,
751P00099962,CREATION INFORMATION EDITION LOISIRS,création promotion et diffusion d'activités culturelles et de loisirs ainsi que l'édition la création ou l'acquisition de tt materiel,1991-05-21,0001-01-01,,20        CT  Moynet,,75012,PARIS,
751P00099971,THEATRE DE LA MACHINE RONDE,aider a développer la pratique théâtrale par le biais de la creationde la production de l'animation et de la representation de spectacles,1991-05-21,0001-01-01,,19        AV  du Docteur arnold netter,,75012,PARIS,
751P00099996,CLUB FINANCIER MEDITERRANEEN,contribuer au développement économique et financier de la région méditerranéenne en facilitant les actions auprès des decideurs,1991-05-23,1991-06-19,,4 B       BD  Diderot,,75012,PARIS,
751P00100021,COMITE DES FETES DE LA DIRECTION DE L'INFORMATIQUE ET DES TELECOMMUNICATIONS DE LA MAIRIE DE PARIS COFEDIT,étudier et organiser des séances récréatives des sorties pour l'ensemble de la direction de l'informatique et des telecom de mairie 75,0001-01-01,0001-01-01,,227       RUE de Bercy,,75012,PARIS,
751P00100035,ASSOCIATION CLUB ETOILE ROUGE CRVENA ZVEZDA PARIS,des rencontres sportives et culturelles section d'échec football tennis de table athlétisme bowling et autres disciplines,1991-05-27,0001-01-01,,67        RUE de Reuilly,,75012,PARIS,
751P00100064,RENCONTRES ET ASSISTANCE,organisation de voyages a but humanitaire rencontres et échanges culturels avec les étudiants francais ou étrangers,1991-05-29,1991-06-19,,78        RUE Claude decaen,,75012,PARIS,
751P00100090,L'ECOLE MUSULMANE DE FRANCE,recherches et études culturelles identitaires publication de cahierssur ces recherches ainsi que toutes les activités culturelles,1991-05-30,0001-01-01,,45        RUE Jacques hillairet,,75012,PARIS,
751P00100129,D'ART D'ARTS,réunir et promouvoir comediens chanteurs musiciens auteurs peintres sculpteurs graphistes stylistes danseurs magiciens clowns jongleurs,0001-01-01,0001-01-01,,10        RUE Erard,,75012,PARIS,
751P00100132,COMITE NATIONAL DES ALTERNATIVES A L'HOSPITALISATION,favoriser les études et recherches en alternatives a l'hospitalisa- tion et coordonner les actions dans le secteur sanitaire,1991-06-04,0001-01-01,,8         RUE Ebelmen,,75012,PARIS,
751P00100140,FRANCE LITHUANIE,entretenir et développer les liens entre les peuples francais et lithuaniens a tous les niveaux de participation sous toutes formes,1991-06-04,0001-01-01,,92        AV  de Saint mande,,75012,PARIS,
751P00100155,ONDES LIBRES,rassembler les amateurs de radio organiser pour les adhérents des visites dans les stations avec leurs animateurs,1991-06-05,0001-01-01,,5         RUE Parrot,,75012,PARIS,
751P00100169,SOCIETE DE PRESSE ET D'EDITION,publier des revues gratuites,0001-01-01,0001-01-01,,14 T      RUE du Colonel oudot,,75012,PARIS,
751P00100194,ASSOCIATION POUR LE DEVELOPPEMENT DE LA BIOLOGIE MOLECULAIRE SUR LES MALADIES VIRALES TRANSMISSIBLES,promouvoir les actions contribuant a la mise au point et a l'application de techniques de biologie moléculaire,1991-06-10,0001-01-01,,27        RUE Chaligny,,75012,PARIS,
751P00100195,ATELIERS EN HERBE,expression libre et spontanée des enfants et des adultes au travers d'activités culturelles et artistiques,1991-06-07,0001-01-01,,68        RUE de Charenton,,75012,PARIS,
751P00100240,AMICALE DES CADRES DU GROUPEMENT D'INSTRUCTION PREMILITAIRE DE PARIS,resserrer les liens de camaraderie entre les adherebts faciliter l'accueil des nouveaux cadres affectes au gipm de paris,0001-01-01,0001-01-01,,          FORTNeuf de vincennes,,75012,PARIS,
751P00100253,ASSISCOM,conseil en communication professionnelle,0001-01-01,0001-01-01,,21        RUE de Fecamp,,75012,PARIS,
751P00100258,CENTRE INTERNATIONAL POUR LA FORMATION PROFESSIONNELLE SB CIFPSB,effectuer des actions de formation professionnelle,1991-06-13,0001-01-01,,106       BD  Diderot,,75012,PARIS,
751P00100290,COMPAGNIE LES GALETS BLEUS,l'action culturelle la création et la diffusion de spectacles,1991-06-17,0001-01-01,,7         RUE Beccaria,,75012,PARIS,
751P00100309,ARCHIPEL DES POETES FRANCOPHONES APF,promouvoir la connaissance de la poésie française nee hors de france sous la forme d'un festival annuel,1991-06-18,0001-01-01,,162       AV  Daumesnil,,75012,PARIS,
751P00100341,LE MYSTERE TRUFFE,réalisation du film documentaire intitule le mystère truffe ou bien histoires de truffes,1991-06-20,0001-01-01,,65        AV  de Saint mande,,75012,PARIS,
751P00100349,LES APACHES DES MIMOSAS,promouvoir par tous les moyens la pratique du jeu de fléchettes,1991-06-20,0001-01-01,,8         RUE du Charolais,,75012,PARIS,
751P00100357,ASSOCIATION DES METIERS DE L'ESTHETIQUE ET DE LA COIFFURE DES ORIGINAIRES DE L'OUTRE MER AMECOM,promouvoir et soutenir la coiffure et l'esthétique pour les peaux noires et metissees et les cheveux frises et crepus,1991-06-21,1991-07-17,,3         BD  de Picpus,,75012,PARIS,
751P00100455,STEED ET ASSOCIES,promotion du graphisme télématique,1991-06-28,0001-01-01,,162       BD  Diderot,,75012,PARIS,
751P00100477,CHOI KWANG DO INTERNATIONAL FRANCE,enseignement de la self défense pr personne de tt age et condition physique harominie du corps et de l'esprit,1991-07-01,1991-07-24,,32 B      BD  de Picpus,,75012,PARIS,
751P00100525,METEOR CLUB,parrainage du sport de haut niveau,1991-07-03,1991-07-24,,54        QUAIde la Rapee,,75012,PARIS,
751P00100545,CONSEIL ET DIFFUSION MEDICALE CODIME,délivrer aux étudiants en médecine et médecins tt conseil et tt ouvrage nécessaires a leurs études ou a leur pratique médicale,0001-01-01,0001-01-01,,27        RUE Chaligny,,75012,PARIS,
751P00100564,FORMACTIONS,favoriser l'epanouisement individuel et professionnel,1991-07-05,0001-01-01,,34        AV  du General michel bizot,,75012,PARIS,
751P00100597,FEDERATION FRANCAISE DE NIN JUTSU,pratique du nin jutsiu,1983-04-26,1983-05-08,,2         IMP Canart,,75012,PARIS,
751P00100626,OBSERVATOIRE DES SCIENCES DE L'AIR,développer a diffusion de l'information sur le themne de l'air,1991-07-10,0001-01-01,,19        AV  du Bel air,,75012,PARIS,
751P00100635,PROTECTION DE L'ENVIRONNEMENT A PARIS,protection de l'environnement la qualité de la vie du caractère esthétique a paris,1991-07-10,0001-01-01,,56        RUE de Bercy,,75012,PARIS,
751P00100649,ASSOCIATION DU COLLEGE FREUDIEN ILE DE FRANCE,stimuler la recherche concernant le champ freudien et faire ] progresser ds le public la connaissance de la théorie psychanalytique,1991-07-11,0001-01-01,,11        RUE Lamblardie,,75012,PARIS,
751P00100686,ATELIER COOPERATIF POUR L'AMENAGEMENT ET LE DEVELOPPEMENT DE L'INTERVENTION SUR L'ESPACE ACADIE,prendre en charge l'information la participation la formation des habitants des assos ou des collectivités locales,1991-07-23,0001-01-01,,170       RUE du Faubourg saint antoine,,75012,PARIS,
751P00100694,CRESUS CLUB DES UTILISATEURS DES LOGICIELS DE CREDINTRANS,tt ce qui contribue a l'echange d'expériences entre utilisateurs des logiciels de credintrans,1991-07-16,0001-01-01,,37 39     AV  Ledru rollin,,75012,PARIS,
751P00100707,ASSOCIATION POUR L'ORGANISATION ET LA PROMOTION EN ODONTO STOMATOLOGIE AOPOS,promouvoir l'organisation et la pratique de l'odonto stomatologie en france,1991-07-17,0001-01-01,,5         RUE Dubrunfaut,,75012,PARIS,
751P00100710,EMERGENCE MARKETING ET STRATEGIES POUR L'AFRIQUE,recueillir et diffuser les informations utiles sur l'état et les evolutons des marches africains,1991-07-17,0001-01-01,,218       RUE du Faubourg saint antoine,,75012,PARIS,
751P00100719,INSTITUT TECHNOLOGIQUE ET D'EDUCATION I.T.E.,mise en place réalisation et évolution d'actions de formations en faveur de tous publics,1989-09-13,1989-10-11,,103 B     RUE de Reuilly,,75012,PARIS,
751P00100725,L'ATELIER DE LA GRANGE,dvt des arts plastiques dessin peinture sculpture céramique,1991-07-18,1991-08-07,,10        RUE Mousset robert,,75012,PARIS,
751P00100749,ASSOCIATION POUR UNE PEDAGOGIE DE L'INFORMATION PAR L'INFORMATIQUE PII,promouvoir ds le cadre d'une pédagogie de l'information l'assistanatinfdormatique en direction de ts publics auprès des étudiants et assos,1991-07-19,0001-01-01,,16        RUE de Picpus,,75012,PARIS,
751P00100756,OBJECTIF DANSE,enseigner et promouvoir la danse modern jazz et funk,1991-07-22,1991-08-14,,21        RUE de Fecamp,,75012,PARIS,
751P00100798,CENTRE D'ETUDES DE DOCUMENTATION ET D'OBSERVATION SUR LES VILLES CEDOV,l'association conduit suscite aide et encourage des recherches des expertises et des interventions sur les politiques publiques,1991-07-25,0001-01-01,,21        RUE de la Vega,,75012,PARIS,
751P00100807,VIVRE EN PLENITUDE,faire des réunions de jeunes dans un esprit chretien,1991-07-25,1991-08-14,,125       BD  Diderot,,75012,PARIS,
751P00100843,CENTRE DE RECHERCHE FRANCO JAPONAIS SUR LES ARTS ET LA MODE,étude recherche promotion des arts et de la mode afin de favoriser la conaissance culturelle les échanges dans les domaines artistiques etc,1991-01-16,1991-02-06,,43        RUE de Pommard,,75012,PARIS,
751P00100882,ASSOCIATION INTERNATIONALE DES CHERCHEURS ET DES HISTORIENS,développer encourager améliorer les conditions de travail et de recherches des historiens et des chercheurs,1991-08-01,0001-01-01,,5         VIL de Saint mande,,75012,PARIS,
751P00100917,LE PERROQUET,diffuser des informations concernant l'assemblée nationale et les assistants parlementaires,1991-08-06,0001-01-01,,8         AV  du General dodds,,75012,PARIS,
751P00100921,ECOLE DISPERSEE DE SANTE EUROPEENNE,initier et promouvoir des recherches et des projets sur l'espace le sens et les pratiques de la médecine,1991-08-06,0001-01-01,,94        RUE de Charenton,,75012,PARIS,
751P00100926,ASSOCIATION DU QUATUOR DE CUIVRES ARIA,faire connaître et apprécier la musique de toutes les époques et de tous les pays jouee par des instruments de musique de cuivres,1991-08-07,1991-08-28,,37        BD  de Reuilly,,75012,PARIS,
751P00100935,COMPAGNIE THEATRALE DES HEURES VIVES,produire créer et monter des spectacles,1990-08-23,1990-09-12,,23        RUE de Toul,,75012,PARIS,
